P,pi_computed,abs_error
1,3.141592653589587,2.0605739337042905e-13
2,3.141592653589466,3.2729374765949615e-13
4,3.141592653589468,3.2507330161024584e-13
8,3.1415926535893273,4.658495811327157e-13
