threads_P,chunk_size,avg_time_seconds
2,1,0.6456424333330991
2,16,0.45161370000005263
2,64,0.4427832333334057
2,256,0.4548731666670089
4,1,0.45896940000026615
4,16,0.4524986000002779
4,64,0.4567971666668503
4,256,0.45389753333317157
8,1,0.46532376666649117
8,16,0.4614281333330534
8,64,0.5048105666664924
8,256,0.4847205999997944
16,1,0.4575399666667484
16,16,0.46279236666699336
16,64,0.4649581666668989
16,256,0.47418103333317657
